model,dX,dY,dZ,now,Fwall,nowp,Farea,offset,maxoffset_bed,Wanother,maxoffset_anotherW,Wair,Wair_partial,max_support,needsupport
0,330,254,508,1,1,1,71339,0,254,0,0,0,0,0,0
0,508,254,330,4,1,1,3913,0,2,3,199,0,1,0,1
0,508,254,330,4,1,1,3913,1,2,3,199,0,1,0,1
0,330,254,508,4,1,1,14000,0,51,3,403,0,0,0,1
0,330,254,508,4,1,1,14000,1,51,3,403,0,0,0,1
1,178,483,254,1,1,1,34722,0,254,0,0,0,0,0,0
1,499,287,178,2,1,1,517,0,118,1,59,0,1,84277,0
1,499,287,178,2,1,1,122580,0,59,1,103,0,0,0,0
1,178,254,483,3,1,1,14890,0,420,2,62,0,0,0,0
1,178,254,483,3,1,1,12761,0,62,2,420,0,0,0,0
2,305,483,254,1,1,1,53336,0,254,0,0,0,0,0,0
2,483,254,305,5,1,1,13645,1,230,3,74,1,1,9455,1
2,483,254,305,5,1,1,12794,1,74,3,230,1,0,5,1
2,305,254,483,5,1,1,77419,1,54,3,333,1,1,29704,1
2,305,254,483,5,1,1,8893,1,51,4,45,0,1,58503,1
3,50,96,193,1,1,1,9097,0,50,0,0,0,0,0,0
3,50,96,193,6,1,2,785,1,14,4,16,0,0,0,0
3,50,96,193,8,1,2,21,0,31,5,37,1,0,676,1
3,50,193,96,7,1,1,351,0,30,5,60,1,1,158,1
3,50,193,96,7,1,1,351,0,30,5,60,1,1,158,1
4,109,93,40,1,1,1,3928,0,40,0,0,0,0,0,0
4,109,40,93,5,1,1,664,1,18,4,48,0,1,2112,1
4,109,61,100,5,1,1,664,1,14,4,13,0,1,3106,1
4,100,61,109,5,1,1,531,1,15,4,17,0,1,2641,1
4,100,61,109,5,1,1,368,0,25,4,46,0,1,1906,1
5,30,25,48,1,1,1,565,0,48,0,0,0,0,0,0
5,49,25,29,7,1,1,143,1,5,5,18,1,1,574,1
5,49,25,29,7,1,1,61,1,6,5,18,1,1,138,1
5,30,25,48,7,1,1,70,1,5,6,19,0,2,452,1
5,30,25,48,7,1,1,586,1,5,6,14,0,2,55,1
6,330,508,254,1,1,1,70822,0,254,0,0,0,0,0,0
6,254,508,330,5,1,1,12144,1,63,2,199,1,1,13665,0
6,254,508,330,5,1,1,15022,0,67,3,199,0,1,3842,0
6,330,254,508,7,1,1,11949,0,52,3,206,1,1,3081,1
6,330,254,508,6,1,1,7730,0,60,3,218,1,1,9029,1
7,330,508,254,1,1,1,48574,0,254,0,0,0,0,0,0
7,254,508,330,3,1,1,14697,1,264,1,66,1,0,636,0
7,254,508,330,3,1,1,12877,1,66,2,264,0,0,0,1
7,254,330,508,2,1,1,17348,1,450,1,61,0,0,0,1
7,254,330,508,2,1,1,83871,1,58,1,450,0,0,0,0
8,330,533,254,1,1,1,83659,0,254,0,0,0,0,0,0
8,254,533,330,11,1,1,5334,1,63,9,203,1,2,8880,1
8,254,533,330,11,1,1,5334,1,63,9,203,1,2,8880,1
8,330,254,533,7,1,1,12522,1,55,6,199,0,1,12346,1
8,330,254,533,7,1,1,9913,1,56,6,170,0,1,8355,1
9,330,533,254,1,1,1,73025,0,254,0,0,0,0,0,1
9,533,254,330,5,1,1,6285,1,66,4,226,0,1,4991,0
9,533,254,330,5,1,1,6608,1,63,3,201,1,1,13413,1
9,328,254,531,7,1,1,7794,1,51,4,205,1,1,5627,1
9,328,254,531,6,1,1,12024,1,55,5,220,0,2,7757,1
10,20,17,10,1,1,1,108,1,10,0,0,0,0,0,0
10,20,10,17,7,1,1,11,1,25,2,0,2,2,0,1
10,20,10,17,7,1,1,11,0,25,2,0,2,2,0,1
10,17,10,20,6,1,2,25,1,6,4,2,0,1,74,1
10,17,10,20,6,1,1,20,1,3,5,2,0,1,58,1
11,330,508,254,1,1,1,90188,1,254,0,0,0,0,0,0
11,254,508,330,6,1,1,129032,1,64,5,153,0,2,0,1
11,254,508,330,6,1,1,10481,0,68,4,153,1,1,9325,1
11,330,254,508,7,1,1,42258,0,55,6,183,0,2,23194,0
11,330,254,508,7,1,1,34787,1,55,6,160,0,2,22161,0
12,14,20,10,1,1,1,90,0,10,0,0,0,0,0,0
12,10,20,14,3,1,1,29,0,3,2,12,0,0,0,0
12,10,20,14,3,1,1,2,0,12,1,3,1,1,22,1
12,14,10,20,3,1,1,24,0,3,2,14,0,1,7,0
12,14,10,20,3,1,1,10,0,3,2,14,0,1,7,0
13,15,20,10,1,1,1,129,1,10,0,0,0,0,0,0
13,20,10,15,4,1,1,198,1,1,3,9,0,1,3,1
13,20,10,15,4,1,1,31,0,3,3,9,0,1,155,0
13,15,10,20,4,1,1,55,1,2,3,16,0,1,22,0
13,15,10,20,4,1,1,55,0,2,3,16,0,1,27,0
14,10,20,10,1,1,1,101,0,10,0,0,0,0,0,0
14,20,10,10,4,1,2,22,0,8,1,3,1,1,22,0
14,20,10,10,4,1,1,198,0,3,3,8,0,0,0,1
14,10,10,20,5,1,1,103,0,2,4,6,0,2,78,1
14,10,10,20,5,1,1,103,0,2,4,7,0,2,78,1
15,100,120,100,1,1,1,6125,0,100,0,0,0,0,0,0
15,100,120,100,3,1,1,2500,0,75,1,25,1,1,2500,0
15,100,120,100,3,1,1,12000,0,25,2,75,0,0,0,1
15,100,100,120,4,1,1,2500,0,50,3,25,0,2,7500,1
15,100,100,120,4,1,1,10000,0,25,3,20,0,1,5000,1
16,381,508,254,1,1,1,75961,0,254,0,0,0,0,0,0
16,254,508,381,5,1,1,19187,0,65,3,295,1,1,14168,0
16,254,508,381,5,1,1,61735,0,63,4,253,0,0,0,1
16,381,254,508,5,1,1,8601,1,64,4,359,0,2,25168,1
16,381,254,508,5,1,1,15514,0,56,3,359,1,1,41064,1
17,356,508,254,1,1,1,77982,1,254,0,0,0,0,0,0
17,254,508,356,3,1,1,129032,1,64,2,228,0,1,60090,1
17,254,508,356,3,1,1,129032,0,64,2,228,0,1,60090,1
17,356,254,508,5,1,2,16168,0,237,3,66,0,1,57864,1
17,356,254,508,5,1,2,16168,0,237,3,66,0,1,57864,1
18,178,508,254,1,1,1,41512,0,254,0,0,0,0,0,0
18,254,508,178,5,1,2,9103,0,57,3,62,0,1,103929,0
18,254,508,178,5,1,2,9103,0,57,3,62,0,1,103929,0
18,178,254,508,3,1,1,45161,0,49,2,409,0,1,15129,0
18,178,254,508,3,1,1,45161,1,49,2,409,0,1,15129,0
19,203,635,254,1,1,1,48168,1,254,0,0,0,0,0,0
19,254,635,203,2,1,1,13871,1,68,1,135,0,0,0,0
19,254,635,203,2,1,1,125716,0,135,1,68,0,1,127387,0
19,203,254,635,2,1,1,5270,1,63,1,572,0,0,0,0
19,203,254,635,2,1,1,17297,0,572,2,63,0,1,353,1
20,356,508,254,1,1,1,73893,1,254,0,0,0,0,0,0
20,508,254,356,5,1,1,37,1,194,3,44,1,1,30,1
20,508,254,356,5,1,1,129032,0,67,4,50,0,2,74105,1
20,356,254,508,7,1,2,17013,1,203,5,39,0,0,0,0
20,356,254,508,7,1,2,17013,1,254,5,12,0,0,0,0
21,254,508,254,1,1,1,42525,0,254,0,0,0,0,0,0
21,254,508,254,2,1,1,129032,1,62,1,192,0,0,0,0
21,254,508,254,2,1,1,14439,0,192,1,62,0,1,114593,0
21,254,254,508,2,1,1,64516,0,57,1,451,0,0,0,0
21,254,254,508,2,1,1,15813,0,451,1,57,0,1,0,1
22,483,508,254,1,1,1,119934,0,254,0,0,0,0,0,0
22,254,508,483,5,1,1,129032,0,65,4,154,0,3,108488,0
22,254,508,483,5,1,1,129032,0,65,4,154,0,3,108488,0
22,483,254,508,7,1,3,46600,0,445,4,64,0,0,0,0
22,483,254,508,7,1,2,50129,0,64,5,445,0,0,0,0
23,381,508,254,1,1,1,94716,0,254,0,0,0,0,0,0
23,508,254,381,3,1,1,129032,0,65,2,251,0,1,106833,0
23,508,254,381,3,1,1,129032,0,65,2,251,0,1,106833,0
23,381,254,508,5,1,2,36471,0,420,3,420,0,0,0,0
23,381,254,508,5,1,2,36471,0,420,3,420,0,0,0,0
24,432,508,254,1,1,1,81719,1,254,0,0,0,0,0,0
24,254,508,432,4,1,1,18871,1,66,3,298,0,0,0,1
24,254,508,432,4,1,1,18816,0,67,3,298,0,0,0,1
24,432,254,508,4,1,1,17558,1,54,3,397,0,0,0,1
24,432,254,508,4,1,1,17599,1,55,3,397,0,0,0,1
25,305,508,254,1,1,1,67036,1,254,0,0,0,0,0,0
25,254,508,305,4,1,1,129032,1,65,3,171,0,0,0,1
25,254,508,305,4,1,1,11099,0,68,3,171,0,1,50858,1
25,305,254,508,5,1,1,16419,0,198,4,55,0,1,13948,1
25,305,254,508,5,1,1,31929,1,55,4,200,0,1,11213,1
26,432,660,254,1,1,1,94138,0,254,0,0,0,0,0,0
26,254,660,432,7,1,1,19452,1,67,6,298,0,0,0,1
26,254,660,432,7,1,1,17308,0,67,5,298,1,0,5,1
26,432,254,660,5,1,1,53,1,138,4,55,0,0,0,1
26,432,254,660,5,1,1,17600,1,56,4,409,0,0,0,1
27,55,102,50,1,1,1,3629,0,50,0,0,0,0,0,0
27,50,102,55,6,1,1,4773,1,15,5,22,0,0,0,1
27,50,102,55,7,1,1,1,0,23,5,17,1,1,719,1
27,55,50,102,7,1,2,1752,0,31,6,5,0,0,0,1
27,55,50,102,7,1,1,719,1,16,6,36,0,0,0,1
28,305,508,254,1,1,1,60555,1,254,0,0,0,0,0,0
28,254,508,305,5,1,1,15310,1,239,3,68,1,1,9383,1
28,254,508,305,5,1,1,10063,1,65,3,239,1,1,7,1
28,305,254,508,7,1,1,13091,1,53,5,128,1,1,75,1
28,305,254,508,7,1,1,12467,1,55,5,123,1,1,58,1
29,356,508,254,1,1,1,49583,1,254,0,0,0,0,0,0
29,254,508,356,3,1,1,14568,1,145,2,65,0,1,114464,1
29,254,508,356,3,1,1,14568,1,145,2,65,0,1,114464,1
29,356,254,508,2,1,1,16452,1,451,1,57,0,1,73871,1
29,356,254,508,2,1,1,90322,1,57,1,451,0,0,0,0
30,381,508,254,1,1,1,74341,1,254,0,0,0,0,0,0
30,254,508,381,3,1,1,82516,1,67,2,247,0,1,82645,1
30,254,508,381,3,1,1,81877,1,67,2,274,0,1,82774,1
30,381,254,508,3,1,1,15399,1,55,2,452,0,0,0,0
30,381,254,508,3,1,2,17071,1,452,1,55,0,1,80,1
31,406,508,254,1,1,1,63165,1,254,0,0,0,0,0,0
31,254,508,406,3,1,1,75,1,65,2,171,0,0,0,1
31,254,508,406,3,1,1,75,1,65,2,171,0,0,0,1
31,406,254,508,3,1,1,16613,1,70,2,438,0,0,0,0
31,406,254,508,3,1,2,17664,1,438,1,70,0,1,52,0
32,610,508,254,1,1,1,113848,1,254,0,0,0,0,0,0
32,254,508,610,4,1,1,102,1,159,3,145,0,0,0,0
32,254,508,610,4,1,1,87,1,168,3,138,0,0,0,0
32,610,254,508,7,1,2,16374,1,70,5,438,0,0,0,0
32,610,254,508,7,1,3,17406,1,438,4,70,0,0,0,0
33,381,508,254,1,1,1,63238,1,254,0,0,0,0,0,0
33,254,381,508,5,1,2,42,1,155,3,72,0,0,0,1
33,254,381,508,5,1,2,44,1,154,3,72,0,0,0,1
33,381,254,508,5,1,2,16168,1,220,3,93,0,0,0,0
33,381,254,508,5,1,2,16426,1,195,3,93,0,0,0,0
34,381,508,254,1,1,1,51885,1,254,0,0,0,0,0,0
34,254,508,381,3,1,1,5,1,158,2,66,0,1,49297,1
34,254,508,381,3,1,1,5,1,157,2,66,0,1,50206,1
34,381,254,508,4,1,1,16677,1,198,3,53,0,0,0,1
34,381,254,508,4,1,2,18006,1,257,2,53,0,0,0,0
35,330,508,254,1,1,1,63975,1,254,0,0,0,0,0,0
35,254,508,330,5,1,1,14439,1,257,3,73,1,0,12748,1
35,254,508,330,5,1,1,12619,1,73,3,257,1,0,12619,1
35,330,254,508,3,1,1,83871,1,57,2,394,0,1,61484,1
35,330,254,508,3,1,1,80180,1,57,2,394,0,1,61484,1
36,279,381,254,1,1,1,55349,1,254,0,0,0,0,0,0
36,254,381,279,5,1,1,63806,1,62,4,181,0,0,0,1
36,254,381,279,5,1,1,13249,1,62,3,155,1,0,7,1
36,279,254,381,9,1,1,7245,1,80,6,137,2,1,11368,1
36,279,254,381,9,1,1,11197,1,50,8,101,0,0,0,1
37,305,533,254,1,1,1,69235,1,254,0,0,0,0,0,0
37,254,533,305,4,1,1,133709,1,61,3,181,0,1,92,1
37,254,533,305,4,1,1,15482,1,62,3,181,0,1,32316,1
37,305,254,533,8,1,1,8420,1,51,6,283,1,1,11258,1
37,305,254,533,8,1,1,15381,1,204,6,276,1,1,8479,1
38,254,381,254,1,1,1,37198,1,254,0,0,0,0,0,0
38,254,381,254,3,1,1,16550,1,61,2,186,0,0,0,1
38,254,381,254,3,1,1,83,1,192,1,61,1,0,13664,1
38,254,254,381,5,1,1,10313,1,52,3,275,1,0,69,1
38,254,254,381,5,1,1,9973,1,53,3,275,1,0,60,1
39,305,533,254,1,1,1,69417,1,254,0,0,0,0,0,0
39,254,533,305,4,1,1,133709,1,61,3,181,0,1,92,1
39,254,533,305,4,1,1,15481,1,62,3,181,0,1,37516,1
39,305,254,533,8,1,1,8407,1,50,6,283,1,1,12510,1
39,305,254,533,6,1,1,15510,1,203,6,274,1,1,8357,1
40,305,381,254,1,1,1,57030,1,254,0,0,0,0,0,0
40,254,381,305,5,1,1,9652,1,65,3,173,1,1,13787,1
40,254,381,305,5,1,1,14834,1,66,4,221,0,1,3664,1
40,305,254,381,7,1,1,9184,1,52,6,125,0,1,60922,1
40,305,254,381,7,1,1,11365,1,50,5,102,1,1,6,1
41,254,533,254,1,1,1,44514,1,254,0,0,0,0,0,0
41,254,533,254,4,1,1,6116,1,68,3,64,0,1,83613,1
41,254,533,254,4,1,1,8,1,122,2,64,1,0,11342,1
41,254,254,533,5,1,1,16194,1,329,3,45,1,1,8,1
41,254,254,533,5,1,1,7921,1,51,4,108,0,1,21987,1
42,330,559,254,1,1,1,82596,1,254,0,0,0,0,0,0
42,254,559,330,15,1,1,7348,1,57,12,210,2,2,8021,1
42,254,559,330,15,1,1,10006,1,66,12,39,2,2,8506,1
42,330,254,559,9,1,1,11224,1,45,8,129,0,4,15090,1
42,330,254,559,9,1,1,7426,1,45,8,163,0,3,10294,1
43,305,533,254,1,1,1,66115,1,254,0,0,0,0,0,0
43,254,533,305,3,1,1,135484,1,64,2,177,0,1,61516,1
43,254,533,305,3,1,1,62413,1,64,2,177,0,1,89768,1
43,305,254,533,4,1,2,16168,1,326,2,208,0,1,10672,1
43,305,254,533,4,1,1,16168,1,208,2,326,1,0,15706,1
44,76,508,254,2,1,2,28837,1,254,0,0,0,0,0,0
44,254,508,76,2,1,2,100193,1,76,0,0,0,0,0,0
44,254,508,76,2,1,2,100193,1,76,0,0,0,0,0,0
44,76,254,508,2,1,1,16535,1,370,0,76,1,0,5193,1
44,76,254,508,2,1,1,5193,1,76,0,370,1,0,16535,1
45,152,686,254,2,1,2,41699,1,254,0,0,0,0,0,0
45,254,686,152,3,1,2,114132,1,63,1,84,0,0,0,1
45,254,686,152,3,1,1,12839,1,84,1,63,1,0,6332,1
45,152,254,686,4,1,1,6833,1,52,2,493,1,0,5022,0
45,152,254,686,4,1,1,5041,1,77,1,493,1,1,15981,1
46,279,533,254,1,1,1,59103,1,254,0,0,0,0,0,0
46,254,533,279,5,1,1,135484,1,61,4,37,0,0,0,1
46,254,533,279,5,1,1,4,1,143,3,39,1,0,4,1
46,279,254,533,5,1,2,33226,1,172,3,22,0,0,0,1
46,279,254,533,5,1,1,15419,1,339,3,22,1,0,17929,1
47,229,533,254,1,1,1,66029,1,254,0,0,0,0,0,0
47,254,533,229,4,1,1,9503,1,60,3,109,0,1,114426,0
47,254,533,229,4,1,2,18877,1,59,2,109,0,1,94135,0
47,229,254,533,3,1,1,58064,1,37,2,459,0,1,2103,0
47,229,254,533,3,1,1,42826,1,37,2,459,0,1,4335,0
48,508,381,254,1,1,1,83982.48,1,254,0,0,0,0,0,0
48,254,381,508,5,1,1,62045.04,1,62,4,161.49,0,2,52341.83,1
48,254,381,508,5,1,1,95115.94,1,61.49,4,161.52,0,2,61154.72,1
48,508,254,381,9,1,3,46986.96,1,329.23,6,50.74,0,2,9707.96,1
48,508,254,381,9,1,2,26727.53,1,50.74,6,329.23,1,0,12703.26,1
49,304.8,381,254,1,1,1,55506.66,1,254,0,0,0,0,0,0
49,254,381,304.8,3,1,1,62045.04,1,64.16,2,176.99,0,1,49154.74,1
49,254,381,304.8,3,1,1,95115.94,1,63.65,2,176.99,0,1,61154.72,1
49,304.8,254,381,5,1,2,16167.71,1,329.29,3,50.76,0,1,10671.74,1
49,304.8,254,381,5,1,1,15705.7,1,50.76,3,329.29,1,0,13141.88,1
50,330.2,381,254,1,1,1,55416.55,1,254,0,0,0,0,0,0
50,254,381,330.2,4,1,1,14904.84,1,64.56,3,200.23,0,1,84.12,1
50,254,381,330.2,4,1,1,14904.84,1,64.08,3,200.23,0,1,84.12,1
50,330.2,254,381,4,1,1,12161.92,1,49.66,3,279.81,0,1,42.94,1
50,330.2,254,381,4,1,1,12163.43,1,50.13,3,279.81,0,1,42.39,1
51,304.8,558.8,254,1,1,1,71757.81,1,254,0,0,0,0,0,0
51,254,558.8,304.8,4,1,1,15881.55,1,62.45,3,181.23,0,1,41335.4,1
